7,,MD03865,PT04187,BLACK HERENCIA VIVA PANT,BLACK,0002,N/A,N/A,N/A,APROBADO,OSMAN,,,,PANTS,PANT,PS, 0-2-4-6-8-10-12 ,N/A,BACK ZIPPER,NO,N/A,N/A,TE00005391,,SOLID LI MERINO NATURAL ST MANAROLA710 117BLACK,"1,5",WOOL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,SI,,,,,,,,,,,,X,"2,04 mt",,X,#N/A,,,X,,PROGRAMACION,,,,,,,,,NUEVO,NUEVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,13777,OK,,,,,,,,,,,,,,,,,,7,26,25,16,5,4,23,,,,,,106,,Referencia continua a producción,49,X,7,10,12,8,5,4,3,,,,,,49
8,,-,-,,,,N/A,N/A,N/A,CANCELADO SIN CORTAR,MARIA DEL MAR,,,,DRESSES,,DS, 0-2-4-6-8-10-12 ,,,,,N/A,,,#N/A,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGRAMACION,,,,,,,,,,,,,,,,,,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
9,,MD03867,PT04189,,,,,PT03930,GREEN/ROSE SUN WHISPER TOP SV26,CANCELADO ES PERSONAL DE JO,OSMAN,,,,TOPS,TOP,TP, 0-2-4-6-8-10-12 ,,,,,N/A,TE00012327,,"PRINTED TWILL, art.MENTON - LISA, ART FW26 BEETTLE WINDOWS WINE BLUE 45CM",1.48,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGRAMACION,,"SE MIDIO PERO NO ESTA SEGURA DE QUE SEA TOP, QUE SE ENMARQUE EL ESCOTE Y EN CUELLO YA SEA EN CDC NEGRO/CHARMEUSE PERO UNA OPCION DE VELVET

EN POSTERIOR CON BOTONES DE PALMA WINE",,,,"QUEDA COMO TOP, CAMBIAR PIOLA POR SESGOS Y QUE QUEDE TAMBIEN EN MANGAS",,,,,,,,,,,,,,,REMEDIR ,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
10,,MD03868,PT04190,BLACK/RED MAIDEN VOYAGE DRESS,,,,PT03732,ECRU/RED MAIDEN VOYAGE ANKLE DRESS SS26,JUST FOR SHOW,CLAUDIA,,,,DRESSES,,DS, 0-2-4-6-8-10-12 ,,,,N/A,N/A,TE00012267,,"PRINTED CDC 16mm, art.090625/Jw PARKER - FASAC, ART FW26 FANTASY FLOWERS BLACK RED 20CM",1.35,SILK CDC,TE00004662,,CREPE DE SEDA NEGRO PV1200/196 44 45,"1,1",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,#N/A,,,,,,PROGRAMACION,"enmarcar cintura y puños, moño por separado sin coser a la prenda, escote de 1 cm solo para desfile en cintura cuadradito para que se note una luz",SE CAMBIA DE VESTIDO A TOP,,,,"CORTAR LA FALDA, DESPUES SE REVISA SI SE CONVIERTE EN VESTIDO (ANOTACIONES GABI PDT)","cambia el posterior REF/ sheer decoration 

con botón en escote post 
corte en pinza en el posterior falda   para que llegue el drapeado.
Cinta velvet en cintura de 5 cm negra 
traer bolero nueve en diagonal / irregular para medir",,,,,,,,,,,,"falda con bolero


top con abertura, alargar la manga.

sesgo en escote y que muera en punta de pinza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
11,,MD03869,PT04191,,,,#N/A,#N/A,,CANCELADO CORTADO,BURGOS,,,,DRESSES,,DS, 0-2-4-6-8-10-12 ,,,,,N/A,TE00002598,,TAFETA SEDA NEGRO PV9000 T28/196,1.37,,TE00004662,,CREPE DE SEDA NEGRO PV1200/196 44 45,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGRAMACION,,,,,"QUE SEA MAS DESORDENADO EN LOS BOLEROS, QUE SEA MAS CORTO",,,,,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
12,,MD03870,PT04192,,,,#N/A,#N/A,,CANCELADO CORTADO,MARIA DEL MAR,,,,SKIRTS,,SK, 0-2-4-6-8-10-12 ,,,,,N/A,TE00000446,,"DUCHESS DOUBLE SATIN, ART.2569-140F TARONI, COL. BLACK",1.20,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGRAMACION,,,,,CANCELADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
13,,MD03871,PT04193,IN THE WOODS ANKLE DRESS,WINE,0936,,PT02500,INTO THE WILD ANKLE DRESS RE25,APROBADO,MARGARITA,,,,DRESSES,ANKLE,DS, 0-2-4-6-8-10-12 ,ANKLE 95CM,BACK ZIPPER AND BUTTOM,ONLY THE TOP,N/A,N/A,TE00012323,,"PRINTED JACQUARD, art.RODI - LISA, ART FW26 MAGNOLIA TREE WINE RED",1.44,PRINTED JACQUARD,TE00001117,,CREPE DE CHINE VINO PV1200 173 CDC16MM 44 45,1.10,SI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,SI,,,,,,,,,,,,X,"2,87 MT
MOD DE ARTE",,X,CANCELADO ,,,X,,,PROGRAMACION,,"REVISAR ALGO ESTA PASANDO EN LA SISA, COMO SI ESTUVIERA JALANDO, LADO IZQUIERDO, SUPER METIDA LA SISA",,,"QUE EL CUELLO QUEDE COMO EL TOP DE BURGOS #30, QUE LAS MANGAS QUEDEN EN HOMBRO CON LA FORMA MAS BOMBACHA, QUE EN EL CUELLO NO QUEDE SOLIDO SINO ESTAMPADO","REALIZAR EL MOÑO DEL CUELLO MAS GRANDE, COMO EL TOP DE MARIA",ARREGLO,,ESTE QUEDE MAS BOXY EN LOS LADOS,,,,,,,,,,,REMEDIR ,,,,CAMBIARLE MANGAS A LIBERTAD CON HOMBRERAS,,,,,,,,,,,,,,,,,,,,,,OK,13778,OK,,,,,,,,,,,,,,,,,,16,27,33,24,16,10,6,,,,,,132,,Referencia continua a producción,132,X,16,27,33,24,16,10,6,,,,,,132
14,,MD03872,PT04194,HIDDEN FLOWERS,,,N/A,N/A,N/A,CANCELADO CORTADO,BURGOS,,,,DRESSES,,DS, 0-2-4-6-8-10-12 ,,,,,N/A,TE00012322,,"PRINTED JACQUARD, art.RODI - LISA, ART FW26 HIDDEN PARADISE GREEN ROSE 67CM",1.44,PRINTED JACQUARD,TE00004662,,CREPE DE SEDA NEGRO PV1200/196 44 45,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGRAMACION,,SE REPLANTEA,OKEY,,REVISAR BORDADO EN COPAS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
15,,MD03873,PT04195,JACQUARD BLACK/RED INTRICATE ISLANDS TOP,BLACK / RED,5914,,PT04162,BLACK/ECRU INTRICATE ISLANDS TOP PF26,APROBADO,CLAUDIA,,,,TOPS,TOP,TP, 0-2-4-6-8-10-12 ,N/A,BACK BUTTONS,NO,N/A,N/A,TE00012318,,"PRINTED JACQUARD, art.RODI - LISA, ART FW26 FANTASY BOUQUET BLACK RED 25CM",1.44,PRINTED JACQUARD,N/A,N/A,N/A,N/A,N/A,SI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,SI,,,,,,,,,"2,45 MT
MOD DE ARTE",,,X,"3,04 mt",,X,#N/A,,,X,,,PROGRAMACION,,"OKEY APROBADO, IBA ARREGLAR EL TOP Y SE REVISABA QUE FALDA SE PROGRAMABA",,,QUEDA CON BOTONES EN LA PARTE POSTERIOR DE PALMAS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,13721,OK,,,,,,,,,,,,,,,,,,7,13,17,14,13,6,3,,,,,,73,,Referencia continua a producción,73,X,7,13,17,14,13,6,3,,,,,,73
16,,MD03874,PT04196,BLACK ENCANTO DE ISLA ANKLE SKIRT,BLACK / RED,5914,,PT03635,RUST DARK ENCANTO DE ISLA ANKLE SKIRT RS26,APROBADO,FER,,,,SKIRTS,ANKLE,SK, 0-2-4-6-8-10-12 ,ANKLE 95CM,BACK ZIPPER,SI,N/A,N/A,TE00012318,,"PRINTED JACQUARD, art.RODI - LISA, ART FW26 FANTASY BOUQUET BLACK RED 25CM",1.44,PRINTED JACQUARD,TE00004662,,CREPE DE SEDA NEGRO PV1200/196 44 45,"1,1",SI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,SI,,,,,,,,,"2,55 MT
MOD DE ARTE",,,X,"2,35 MT
MOD DE ARTE",,X,#N/A,,,X,,,PROGRAMACION,OKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,13722,OK,,,,,,,,,,,,,,,,,,8,12,15,13,13,8,7,,,,,,76,,Referencia continua a producción,76,X,8,12,15,13,13,8,7,,,,,,76
17,,MD03875,PT04197,ILLUSIONAL GARDEN TOP,,,N/A,N/A,N/A,CANCELADO CORTADO,OSMAN,,,,TOPS,TOP,TP, 0-2-4-6-8-10-12 ,N/A,,,N/A,N/A,TE00012324,,"PRINTED JACQUARD, art.RODI - LISA, ARTE PF26 FANTASY FOUR GREEN PINK 36CM",1.44,PRINTED JACQUARD,,#N/A,#N/A,#N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,#N/A,,,,,,PROGRAMACION,,OKEY,,,"REALIZAR ASENTAMIENTOS EN POSTERIOR, VA CON HOMBRERAS NORMALES, ",,,,,,,,,,,,,,,,,,,QUEDA CON MANGAS BOMBACHAS,,,,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
18,,MD03876,PT04198,FOUR GREEN ENCANTO DE ISLA SKIRT ,,,,PT03635,RUST DARK ENCANTO DE ISLA ANKLE SKIRT RS26,CANCELADO CORTADO,OSMAN,,,,SKIRTS,,SK, 0-2-4-6-8-10-12 ,,,,N/A,N/A,TE00012324,,"PRINTED JACQUARD, art.RODI - LISA, ARTE PF26 FANTASY FOUR GREEN PINK 36CM",1.44,PRINTED JACQUARD,TE00010747,,"SOLID SILK CDC, SAISILK, COL.3160 MILITARY GREEN",1.11,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,si pero se cancelo,,,,,,,,,,,,,,,,#N/A,,,,,,PROGRAMACION,,OKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
19,,MD03877,PT04199,GOLDEN VIBE MIDI DRESS,GREEN / ROSE,5817,N/A,N/A,N/A,APROBADO,MARGARITA,,,,DRESSES,MIDI,DS, 0-2-4-6-8-10-12 ,MIDI 92CM,BACK ZIPPER AND BUTTOM,ONLY THE TOP,N/A,N/A,TE00012263,,"PRINTED CDC 16mm, art.090625/Jw PARKER - FASAC, ARTE FW26 FANTASY BOUQUET GREEN PINK 25CM",1.35,SILK CDC,TE00000157,,CREPE DE CHINA NUDE PV1200 #3 SHADE C 29107,"1,1",SI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,SI,,,,,,,,,,,,X,"4,19 MT
MOD DE ARTE",,X,#N/A,,,X,,,PROGRAMACION,,,,,,SE PARA POR AHORA,,,,,,,"Vuelve andar, con mangas fijas, velvet en los puños en negro que se vean",,,,,,,REMEDIR ,,,,,ALARGARLE MAS AL CUELLO,,,Ponerle hombreras terminar,,,,,,,,,,,,,,,,,,OK,13779,OK,,,,,,,,,,,,,,,,,,4,10,12,11,8,5,3,,,,,,53,,Referencia continua a producción,53,X,4,10,12,11,8,5,3,,,,,,53
20,,MD03878,PT04200,NOCTURNAL BLOOM TOP,BLACK,0002,N/A,N/A,N/A,APROBADO,FER,,,,TOPS,TOP,TP, 0-2-4-6-8-10-12 ,N/A,BACK BUTTON,NO,EMBROIDERED,N/A,TE00004662,,CREPE DE SEDA NEGRO PV1200/196 44 45,"1,1",SILK CDC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ESPUMA COMPLETO,N/A,SI,RONDELAS EN BORDADO DE BOLEROS,N/A,N/A,N/A,N/A,N/A,,SI,,,,,,,,,,,,X,"4,49 mt",,x,TERMINADO,,x,x,,,PROGRAMACION,,,,,"QUEDA CON HOMBRERAS DE CHAQUETA, EN POSTERIOR QUE QUEDE MAS CORTO, EL AMARRE DEL CUELLO EN POSTERIOR CON BOTONES DE PALMA NO CON AMARRE, QUE QUEDE CON MAS FUERZA EN ESCOTE CON VELVET DE 2 CM INTERNO CON SESGUITO POR FUERA, EL ESCOTE POSTERIOR CON SESGO Y QUE QUEDE CASI AL BESO",,,,,,,"HACERLE POR DENTRO, MANGAS LIBERTAD",,,,,,,,REMEDIR ,,QIUE NO TENGA PRENSES SINO COMO UN DRAPEADO DESORDENADO,,,,APROBADO Y TERMINAR,,,,,,"QUITAR EL VELVET, PORQUE SE VE LA TERMINACION FEA POR FUERA",,,,,,,,,,,,,,OK,13723,OK,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,,,,,,1,,#N/A,#N/A,,,,,,,,,,,,,,0
21,,MD03879,PT04201,,,,N/A,N/A,N/A,CANCELADO CORTADO,BURGOS,,,,DRESSES,,DS, 0-2-4-6-8-10-12 ,,,,,N/A,TE00012319,,"PRINTED JACQUARD, art.RODI - LISA, ART FW26 FANTASY GARDEN ECRU GREEN",1.44,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGRAMACION,,Se va a esperar la propuesta del bordado para definir la silueta,,,CAMBIA DE REFERENTE,,,NUEVO,,,,,PARADA POR EL MOMENTO,,,,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
